"ID","Name","BB_Percentage_MLB","BB_Percentage_MiLB","K_Percentage_MLB","K_Percentage_MiLB","BB_to_K_MLB","BB_to_K_MiLB","AVG_MLB","AVG_MiLB","OBP_MLB","OBP_MiLB","SLG_MLB","SLG_MiLB","OPS_MLB","OPS_MiLB","ISO_MLB","ISO_MiLB","Spd_MLB","Spd_MiLB","BABIP_MLB","BABIP_MiLB","wSB_MLB","wSB_MiLB","wRC_MLB","wRC_MiLB","wRAA_MLB","wRAA_MiLB","wOBA_MLB","wOBA_MiLB","wRCplus_MLB","wRCplus_MiLB"
"12181","Matt Duffy",0.083,0.093,0.333,0.308,0.25,0.48,0.273,0.431,0.333,0.535,0.364,0.719,0.697,0.829,0.091,0.189,0.1,5.6,0.429,0.493,0,-0.9,1,87,-0.1,18.2,0.309,0.558,101,186
"12214","Daniel Muno",0.125,0.254,0.344,0.311,0.36,1.4,0.148,0.416,0.258,0.617,0.185,0.581,0.443,0.727,0.037,0.102,4.5,6.7,0.25,0.51,0.2,-0.1,1,68,-2.5,9.1,0.214,0.566,33,178
"12225","Scott Schebler",0.081,0.102,0.241,0.285,0.34,0.58,0.237,0.385,0.314,0.478,0.437,0.638,0.75,0.795,0.2,0.179,3.6,7.3,0.274,0.455,-2.7,0,172,72,2.6,11.9,0.321,0.496,95,159
"12244","Brock Stassi",0.133,0.167,0.244,0.232,0.55,1.15,0.167,0.405,0.278,0.53,0.295,0.578,0.573,0.715,0.128,0.114,2.6,4.4,0.204,0.466,-0.1,-0.1,6,40,-4.7,4.3,0.259,0.508,54,158
"12268","Ryan Court",0.04,0.165,0.44,0.357,0.09,0.68,0.208,0.402,0.24,0.531,0.375,0.629,0.615,0.822,0.167,0.162,0.1,6.9,0.333,0.529,0,-0.1,2,55,-1.3,7.1,0.258,0.52,61,172
"12282","Rougned Odor",0.058,0.104,0.237,0.297,0.24,0.72,0.234,0.418,0.289,0.508,0.433,0.735,0.722,0.799,0.199,0.194,5.1,7.5,0.267,0.478,-10,0.3,419,48,-30.9,7.4,0.307,0.548,86,178
"12284","Kevan Smith",0.059,0.136,0.175,0.235,0.34,0.83,0.259,0.41,0.312,0.524,0.362,0.674,0.673,0.859,0.103,0.201,2.3,4.1,0.303,0.444,0.1,-0.4,85,59,-18.6,11.2,0.293,0.536,82,187
"12294","Cory Spangenberg",0.072,0.141,0.271,0.239,0.26,0.9,0.256,0.39,0.315,0.504,0.389,0.622,0.704,0.784,0.133,0.168,6.1,10.1,0.342,0.472,2,1,150,38,-12.8,2.7,0.306,0.504,92,161
"12325","Jace Peterson",0.114,0.171,0.213,0.216,0.53,1.33,0.23,0.442,0.322,0.567,0.336,0.628,0.658,0.782,0.106,0.121,4.9,9.2,0.287,0.502,0.7,2.3,196,66,-38,12,0.293,0.543,80,179
"12371","Tommy La Stella",0.093,0.212,0.106,0.115,0.87,3.33,0.27,0.461,0.343,0.623,0.405,0.697,0.748,0.955,0.135,0.19,2.5,5.5,0.286,0.471,-1.5,0,221,33,15.3,9.5,0.326,0.601,104,229
"12399","Taylor Motter",0.089,0.162,0.22,0.266,0.4,1.07,0.191,0.361,0.264,0.485,0.312,0.593,0.575,0.768,0.121,0.162,5.3,7,0.225,0.406,1.5,0.6,29,41,-23.9,6.6,0.254,0.49,57,159
"12409","Ryan Rua",0.06,0.148,0.306,0.317,0.19,0.74,0.236,0.418,0.289,0.537,0.382,0.701,0.671,0.851,0.147,0.202,5.3,8.1,0.317,0.488,1.3,1,72,50,-15.5,13.3,0.292,0.555,74,189
"12434","Kevin Pillar",0.04,0.074,0.166,0.164,0.24,0.61,0.26,0.525,0.297,0.585,0.409,0.742,0.705,0.945,0.149,0.15,5.2,8.8,0.289,0.569,3.2,1.5,409,65,-47.3,16,0.302,0.594,88,227
